,,,0
EXUSUKx,t1,EXUSUKx,2.094209958338532
EXUSUKx,t6,EXUSUKx,2.1690627981764012
EXUSUKx,t12,EXUSUKx,2.182316573826835
EXUSUKx,t24,EXUSUKx,2.170397093606273
EXCAUSx,t1,EXCAUSx,1.8520650760660127
EXCAUSx,t6,EXCAUSx,1.9292022499074548
EXCAUSx,t12,EXCAUSx,1.9343898895631277
EXCAUSx,t24,EXCAUSx,1.9375312698551703
WPSFD49207,t1,WPSFD49207,0.8278214537640469
WPSFD49207,t6,WPSFD49207,0.8807261050465583
WPSFD49207,t12,WPSFD49207,0.8730886460326477
WPSFD49207,t24,WPSFD49207,0.8726569368041592
WPSFD49502,t1,WPSFD49502,1.087411887682916
WPSFD49502,t6,WPSFD49502,1.1448977707480674
WPSFD49502,t12,WPSFD49502,1.1319373418777634
WPSFD49502,t24,WPSFD49502,1.1343768410980573
WPSID61,t1,WPSID61,0.9841117155307345
WPSID61,t6,WPSID61,1.219930290204411
WPSID61,t12,WPSID61,1.2050342962244462
WPSID61,t24,WPSID61,1.1860500082236083
WPSID62,t1,WPSID62,4.081316782763754
WPSID62,t6,WPSID62,4.1960443423742095
WPSID62,t12,WPSID62,4.170493733595484
WPSID62,t24,WPSID62,4.17904528410199
OILPRICEx,t1,OILPRICEx,10.496788184025545
OILPRICEx,t6,OILPRICEx,10.958625989249825
OILPRICEx,t12,OILPRICEx,10.948445919208636
OILPRICEx,t24,OILPRICEx,10.885882329756273
PPICMM,t1,PPICMM,3.6962298590388505
PPICMM,t6,PPICMM,3.9730608483466407
PPICMM,t12,PPICMM,3.954788160803178
PPICMM,t24,PPICMM,3.9319963152085733
CPIAUCSL,t1,CPIAUCSL,0.2969114442026201
CPIAUCSL,t6,CPIAUCSL,0.38628954841358787
CPIAUCSL,t12,CPIAUCSL,0.38736384356132436
CPIAUCSL,t24,CPIAUCSL,0.38791605891835634
CPIAPPSL,t1,CPIAPPSL,0.5722452754372078
CPIAPPSL,t6,CPIAPPSL,0.577016177068822
CPIAPPSL,t12,CPIAPPSL,0.5810174610350247
CPIAPPSL,t24,CPIAPPSL,0.5800741537728509
CPITRNSL,t1,CPITRNSL,1.5404131441585973
CPITRNSL,t6,CPITRNSL,1.7335296337392807
CPITRNSL,t12,CPITRNSL,1.702968872647913
CPITRNSL,t24,CPITRNSL,1.7082648571936452
CPIMEDSL,t1,CPIMEDSL,0.22654003912306667
CPIMEDSL,t6,CPIMEDSL,0.2586057678054845
CPIMEDSL,t12,CPIMEDSL,0.2975518735848873
CPIMEDSL,t24,CPIMEDSL,0.26095621994529367
CUSR0000SAC,t1,CUSR0000SAC,0.6686704654090633
CUSR0000SAC,t6,CUSR0000SAC,0.7708806697536302
CUSR0000SAC,t12,CUSR0000SAC,0.7538883797873933
CUSR0000SAC,t24,CUSR0000SAC,0.7544171085980557
CUSR0000SAD,t1,CUSR0000SAD,0.3573513255860331
CUSR0000SAD,t6,CUSR0000SAD,0.4760941188004276
CUSR0000SAD,t12,CUSR0000SAD,0.5014722747657788
CUSR0000SAD,t24,CUSR0000SAD,0.499360073707423
CUSR0000SAS,t1,CUSR0000SAS,0.1285387806815107
CUSR0000SAS,t6,CUSR0000SAS,0.15944967812758887
CUSR0000SAS,t12,CUSR0000SAS,0.1869150797196744
CUSR0000SAS,t24,CUSR0000SAS,0.19971454077796322
CPIULFSL,t1,CPIULFSL,0.33845601771086264
CPIULFSL,t6,CPIULFSL,0.43357103369136096
CPIULFSL,t12,CPIULFSL,0.4321030564803649
CPIULFSL,t24,CPIULFSL,0.42887710594967365
CUSR0000SA0L2,t1,CUSR0000SA0L2,0.4289679484119465
CUSR0000SA0L2,t6,CUSR0000SA0L2,0.5327981176769878
CUSR0000SA0L2,t12,CUSR0000SA0L2,0.5221312902600662
CUSR0000SA0L2,t24,CUSR0000SA0L2,0.5199548864716972
CUSR0000SA0L5,t1,CUSR0000SA0L5,0.3173182124585693
CUSR0000SA0L5,t6,CUSR0000SA0L5,0.4103219544616163
CUSR0000SA0L5,t12,CUSR0000SA0L5,0.4103002043408726
CUSR0000SA0L5,t24,CUSR0000SA0L5,0.41200828211807944
PCEPI,t1,PCEPI,0.20888129323220367
PCEPI,t6,PCEPI,0.2764080997314758
