,,Symmetric,Asymmetric
Forecasting Horizon 12,CES1021000001,0.00912313409912391,0.009298968410331234
Forecasting Horizon 12,USCONS,0.005691575328943017,0.006820844859277523
Forecasting Horizon 12,MANEMP,0.0036195640806683423,0.0037293917506494895
Forecasting Horizon 12,DMANEMP,0.004307701507285517,0.004483873209214986
Forecasting Horizon 12,NDMANEMP,0.0026902899299990147,0.0026528793124339736
Forecasting Horizon 12,SRVPRD,0.0024663720341191672,0.0026436671707544984
Forecasting Horizon 12,USTPU,0.002394755445317992,0.002645550177511153
Forecasting Horizon 12,USWTRADE,0.002366216807251769,0.002528677568748319
Forecasting Horizon 12,USTRADE,0.002476047555047132,0.0028914311865835237
Forecasting Horizon 12,USFIRE,0.0017886756531947802,0.0018386281358090347
Forecasting Horizon 12,USGOVT,0.001330343832545374,0.00146847868071734
Forecasting Horizon 12,CES0600000007,0.6731955376076136,0.675204340838842
Forecasting Horizon 12,AWOTMAN,0.04568954138509376,0.05742977735235391
Forecasting Horizon 12,AWHMAN,0.7259868805629053,0.7187047874309398
Forecasting Horizon 12,HOUST,0.34798858031875574,0.3599585035486469
Forecasting Horizon 12,HOUSTNE,0.3656204851485608,0.3642296862023839
Forecasting Horizon 12,HOUSTMW,0.5064472269503191,0.5377738684576099
Forecasting Horizon 12,HOUSTS,0.32490156916016605,0.33888465833949466
Forecasting Horizon 12,HOUSTW,0.4327343748130237,0.4389504650618658
Forecasting Horizon 12,PERMIT,0.3332438223614463,0.3487477977263257
Forecasting Horizon 12,PERMITNE,0.33638531551038175,0.3437154760559956
Forecasting Horizon 12,PERMITMW,0.423524922862074,0.4676485254889491
Forecasting Horizon 12,PERMITS,0.3092513718923406,0.34362448906970877
Forecasting Horizon 12,PERMITW,0.42440328077338246,0.4270489470371163
Forecasting Horizon 12,ACOGNO,0.011418187260669361,0.011403292673552112
Forecasting Horizon 12,AMDMNOx,0.013926509057216922,0.01808928783505436
Forecasting Horizon 12,ANDENOx,0.01939090634482306,0.024339494947253338
